Designator,Footprint,Quantity,Value,LCSC Part #
C18,0603,1,330n,
"C19, C22, C23, C28, C29",0603,5,100n,
C24,0603,1,470n,
J1,4_pin_mag_con_new,1,arming_connector,
J2,4_pin_mag_con_new,1,gse_com_connector,
J3,4_pin_mag_con_new,1,chg_connector,
J4,Molex_Micro-Fit_3.0_43045-0600_2x03_P3.00mm_Horizontal,1,Conn_02x03_Top_Bottom,
J5,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,1,Conn_02x02_Top_Bottom,
JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Small_Open,
R22,0603,1,120,C22787
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO1044BD,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
UE1,TO-252-2,1,L7805,C310413
