Designator,Mid X,Mid Y,Rotation,Layer
C18,126.221003,-65.767346,90.0,top
C19,126.221003,-69.067346,270.0,top
C22,135.08482,-55.466976,180.0,top
C23,143.21286,-62.317346,270.0,top
C24,143.194044,-58.459436,90.0,top
C28,141.994044,-55.709436,0.0,top
C29,138.794044,-54.917346,270.0,top
H1,158.744044,-56.417346,0.0,top
H2,113.394044,-76.617346,0.0,top
J1,152.894044,-76.167346,0.0,bottom
J2,137.894044,-70.167346,180.0,bottom
J3,122.894044,-76.167346,0.0,bottom
J4,117.244044,-61.167346,0.0,top
J5,149.669044,-61.127346,0.0,top
JP4,126.594044,-54.917346,180.0,top
R22,125.244044,-61.917346,270.0,top
TP1,122.494044,-62.917346,0.0,bottom
TP2,121.994044,-58.917346,0.0,bottom
TP3,138.444044,-64.217346,0.0,bottom
TP4,141.194044,-63.317346,0.0,bottom
TP5,131.994044,-57.167346,0.0,bottom
TP6,134.094044,-62.817346,0.0,bottom
TP7,130.044044,-72.117346,0.0,top
U7,137.894044,-59.517346,270.0,top
U9,130.269044,-59.517346,90.0,top
UE1,133.936003,-67.192346,0.0,top
